año,trimestre,provincia,banda_ancha_fija,dial_up,total
2024,1,Buenos Aires,5.038.657,5.9,5.044.557
2024,1,Capital Federal,1.502.661,2.05,1.504.711
2024,1,Catamarca,74.932,1.0,74.933
2024,1,Chaco,155.538,5.0,155.543
2024,1,Chubut,169.819,857.0,170.676
2024,1,Córdoba,1.082.136,63.0,1.082.199
2024,1,Corrientes,157.891,3.0,157.894
2024,1,Entre Ríos,296.532,20.0,296.552
2024,1,Formosa,62.718,0.0,62.718
2024,1,Jujuy,118.053,0.0,118.053
2024,1,La Pampa,122.033,162.0,122.195
2024,1,La Rioja,87.778,4.0,87.782
2024,1,Mendoza,301.867,730.0,302.597
2024,1,Misiones,202.556,0.0,202.556
2024,1,Neuquén,163.807,439.0,164.246
2024,1,Río Negro,170.504,515.0,171.019
2024,1,Salta,202.856,5.0,202.861
2024,1,San Juan,106.419,247.0,106.666
2024,1,San Luis,155.925,165.0,156.090
2024,1,Santa Cruz,80.021,187.0,80.208
2024,1,Santa Fe,918.482,106.0,918.588
2024,1,Santiago Del Estero,124.360,2.0,124.362
2024,1,Tierra Del Fuego,61.250,305.0,61.555
2024,1,Tucumán,264.568,27.0,264.595
2023,4,Buenos Aires,5.005.720,5.9,5.011.620
2023,4,Capital Federal,1.472.317,2.05,1.474.367
2023,4,Catamarca,74.586,1.0,74.587
2023,4,Chaco,147.381,5.0,147.386
2023,4,Chubut,169.313,857.0,170.170
2023,4,Córdoba,1.079.239,63.0,1.079.302
2023,4,Corrientes,159.469,3.0,159.472
2023,4,Entre Ríos,298.617,20.0,298.637
2023,4,Formosa,62.002,0.0,62.002
2023,4,Jujuy,118.020,0.0,118.020
2023,4,La Pampa,121.164,162.0,121.326
2023,4,La Rioja,87.717,4.0,87.721
2023,4,Mendoza,298.621,730.0,299.351
2023,4,Misiones,200.333,0.0,200.333
2023,4,Neuquén,164.188,439.0,164.627
2023,4,Río Negro,167.902,515.0,168.417
2023,4,Salta,204.727,5.0,204.732
2023,4,San Juan,102.963,247.0,103.210
2023,4,San Luis,154.520,165.0,154.685
2023,4,Santa Cruz,86.844,187.0,87.031
2023,4,Santa Fe,909.395,106.0,909.501
2023,4,Santiago Del Estero,123.228,2.0,123.230
2023,4,Tierra Del Fuego,61.294,305.0,61.599
2023,4,Tucumán,266.308,27.0,266.335
2023,3,Buenos Aires,4.962.337,5.9,4.968.237
2023,3,Capital Federal,1.465.934,2.05,1.467.984
2023,3,Catamarca,74.354,1.0,74.355
2023,3,Chaco,142.141,5.0,142.146
2023,3,Chubut,167.211,857.0,168.068
2023,3,Córdoba,1.069.271,63.0,1.069.334
2023,3,Corrientes,159.826,3.0,159.829
2023,3,Entre Ríos,293.273,20.0,293.293
2023,3,Formosa,61.314,0.0,61.314
2023,3,Jujuy,117.377,0.0,117.377
2023,3,La Pampa,119.759,162.0,119.921
2023,3,La Rioja,87.697,4.0,87.701
2023,3,Mendoza,297.292,730.0,298.022
2023,3,Misiones,197.135,0.0,197.135
2023,3,Neuquén,163.834,439.0,164.273
2023,3,Río Negro,162.970,515.0,163.485
2023,3,Salta,206.228,5.0,206.233
2023,3,San Juan,103.483,247.0,103.730
2023,3,San Luis,148.751,165.0,148.916
2023,3,Santa Cruz,47.800,187.0,47.987
2023,3,Santa Fe,900.246,106.0,900.352
2023,3,Santiago Del Estero,121.926,2.0,121.928
2023,3,Tierra Del Fuego,58.426,305.0,58.731
2023,3,Tucumán,266.530,27.0,266.557
2023,2,Buenos Aires,4.879.442,6.046,4.885.488
2023,2,Capital Federal,1.455.578,2.1,1.457.678
2023,2,Catamarca,72.989,1.0,72.990
2023,2,Chaco,141.850,5.0,141.855
2023,2,Chubut,163.078,883.0,163.961
2023,2,Córdoba,1.067.686,65.0,1.067.751
2023,2,Corrientes,158.290,4.0,158.294
2023,2,Entre Ríos,273.927,20.0,273.947
2023,2,Formosa,60.350,0.0,60.350
2023,2,Jujuy,117.442,0.0,117.442
2023,2,La Pampa,118.744,166.0,118.910
2023,2,La Rioja,86.968,4.0,86.972
2023,2,Mendoza,296.921,755.0,297.676
2023,2,Misiones,195.471,0.0,195.471
2023,2,Neuquén,161.289,457.0,161.746
2023,2,Río Negro,162.848,531.0,163.379
2023,2,Salta,205.323,5.0,205.328
2023,2,San Juan,97.189,260.0,97.449
2023,2,San Luis,140.575,173.0,140.748
2023,2,Santa Cruz,48.410,192.0,48.602
2023,2,Santa Fe,895.706,108.0,895.814
2023,2,Santiago Del Estero,117.807,2.0,117.809
2023,2,Tierra Del Fuego,58.325,310.0,58.635
2023,2,Tucumán,263.573,29.0,263.602
2023,1,Buenos Aires,4.814.729,6.199,4.820.928
2023,1,Capital Federal,1.546.584,2.145,1.548.729
2023,1,Catamarca,71.491,1.0,71.492
2023,1,Chaco,142.437,5.0,142.442
2023,1,Chubut,169.149,904.0,170.053
2023,1,Córdoba,1.049.904,68.0,1.049.972
2023,1,Corrientes,157.016,4.0,157.020
2023,1,Entre Ríos,274.856,22.0,274.878
2023,1,Formosa,60.985,0.0,60.985
2023,1,Jujuy,117.981,0.0,117.981
2023,1,La Pampa,116.333,171.0,116.504
2023,1,La Rioja,86.401,4.0,86.405
2023,1,Mendoza,292.242,777.0,293.019
2023,1,Misiones,190.685,0.0,190.685
2023,1,Neuquén,159.944,468.0,160.412
2023,1,Río Negro,163.783,548.0,164.331
2023,1,Salta,205.421,5.0,205.426
2023,1,San Juan,101.486,281.0,101.767
2023,1,San Luis,135.281,182.0,135.463
2023,1,Santa Cruz,50.163,198.0,50.361
2023,1,Santa Fe,886.164,110.0,886.274
2023,1,Santiago Del Estero,118.553,2.0,118.555
2023,1,Tierra Del Fuego,56.801,312.0,57.113
2023,1,Tucumán,261.070,30.0,261.100
2022,4,Buenos Aires,4.788.466,6.199,4.794.665
2022,4,Capital Federal,1.549.781,2.145,1.551.926
2022,4,Catamarca,70.908,1.0,70.909
2022,4,Chaco,143.658,5.0,143.663
2022,4,Chubut,167.855,904.0,168.759
2022,4,Córdoba,1.049.592,68.0,1.049.660
2022,4,Corrientes,155.449,4.0,155.453
2022,4,Entre Ríos,270.952,22.0,270.974
2022,4,Formosa,61.840,0.0,61.840
2022,4,Jujuy,118.218,0.0,118.218
2022,4,La Pampa,113.993,171.0,114.164
2022,4,La Rioja,86.258,4.0,86.262
2022,4,Mendoza,291.327,777.0,292.104
2022,4,Misiones,186.269,0.0,186.269
2022,4,Neuquén,159.712,468.0,160.180
2022,4,Río Negro,161.544,548.0,162.092
2022,4,Salta,205.855,5.0,205.860
2022,4,San Juan,103.545,281.0,103.826
2022,4,San Luis,135.028,192.0,135.220
2022,4,Santa Cruz,50.005,198.0,50.203
2022,4,Santa Fe,887.581,110.0,887.691
2022,4,Santiago Del Estero,119.492,2.0,119.494
2022,4,Tierra Del Fuego,54.948,312.0,55.260
2022,4,Tucumán,263.392,30.0,263.422
2022,3,Buenos Aires,4.715.469,6.199,4.721.668
2022,3,Capital Federal,1.545.534,2.145,1.547.679
2022,3,Catamarca,70.292,1.0,70.293
2022,3,Chaco,144.141,5.0,144.146
2022,3,Chubut,164.874,904.0,165.778
2022,3,Córdoba,1.038.600,68.0,1.038.668
2022,3,Corrientes,144.842,4.0,144.846
2022,3,Entre Ríos,268.937,22.0,268.959
2022,3,Formosa,68.537,1.0,68.538
2022,3,Jujuy,118.823,0.0,118.823
2022,3,La Pampa,115.921,171.0,116.092
2022,3,La Rioja,86.860,4.0,86.864
2022,3,Mendoza,288.746,777.0,289.523
2022,3,Misiones,182.157,0.0,182.157
2022,3,Neuquén,162.693,468.0,163.161
2022,3,Río Negro,160.010,548.0,160.558
2022,3,Salta,204.536,5.0,204.541
2022,3,San Juan,103.118,281.0,103.399
2022,3,San Luis,121.888,182.0,122.070
2022,3,Santa Cruz,49.312,198.0,49.510
2022,3,Santa Fe,887.700,110.0,887.810
2022,3,Santiago Del Estero,119.030,2.0,119.032
2022,3,Tierra Del Fuego,53.584,312.0,53.896
2022,3,Tucumán,263.087,30.0,263.117
2022,2,Buenos Aires,4.660.984,6.199,4.667.183
2022,2,Capital Federal,1.534.626,2.145,1.536.771
2022,2,Catamarca,67.007,1.0,67.008
2022,2,Chaco,143.559,5.0,143.564
2022,2,Chubut,161.901,904.0,162.805
2022,2,Córdoba,1.026.367,68.0,1.026.435
2022,2,Corrientes,144.993,4.0,144.997
2022,2,Entre Ríos,269.330,22.0,269.352
2022,2,Formosa,67.881,0.0,67.881
2022,2,Jujuy,115.314,0.0,115.314
2022,2,La Pampa,111.356,171.0,111.527
2022,2,La Rioja,86.026,4.0,86.030
2022,2,Mendoza,278.785,777.0,279.562
2022,2,Misiones,178.813,0.0,178.813
2022,2,Neuquén,161.500,468.0,161.968
2022,2,Río Negro,159.216,548.0,159.764
2022,2,Salta,203.172,5.0,203.177
2022,2,San Juan,100.126,281.0,100.407
2022,2,San Luis,121.559,182.0,121.741
2022,2,Santa Cruz,48.987,198.0,49.185
2022,2,Santa Fe,878.749,110.0,878.859
2022,2,Santiago Del Estero,118.042,2.0,118.044
2022,2,Tierra Del Fuego,53.458,312.0,53.770
2022,2,Tucumán,254.497,30.0,254.527
2022,1,Buenos Aires,4.549.131,6.293,4.555.424
2022,1,Capital Federal,1.415.378,2.163,1.417.541
2022,1,Catamarca,62.377,1.0,62.378
2022,1,Chaco,144.114,5.0,144.119
2022,1,Chubut,170.701,927.0,171.628
2022,1,Córdoba,1.003.729,74.0,1.003.803
2022,1,Corrientes,142.574,4.0,142.578
2022,1,Entre Ríos,267.904,22.0,267.926
2022,1,Formosa,54.548,0.0,54.548
2022,1,Jujuy,116.509,0.0,116.509
2022,1,La Pampa,109.560,172.0,109.732
2022,1,La Rioja,84.299,4.0,84.303
2022,1,Mendoza,274.399,786.0,275.185
2022,1,Misiones,171.508,0.0,171.508
2022,1,Neuquén,149.208,471.0,149.679
2022,1,Río Negro,156.821,553.0,157.374
2022,1,Salta,197.510,5.0,197.515
2022,1,San Juan,87.888,290.0,88.178
2022,1,San Luis,119.659,185.0,119.844
2022,1,Santa Cruz,48.898,204.0,49.102
2022,1,Santa Fe,870.364,115.0,870.479
2022,1,Santiago Del Estero,116.459,2.0,116.461
2022,1,Tierra Del Fuego,52.298,313.0,52.611
2022,1,Tucumán,245.554,30.0,245.584
2021,4,Buenos Aires,4.502.772,6.385,4.509.157
2021,4,Capital Federal,1.409.935,2.184,1.412.119
2021,4,Catamarca,59.089,1.0,59.090
2021,4,Chaco,143.740,5.0,143.745
2021,4,Chubut,159.364,944.0,160.308
2021,4,Córdoba,986.693,77.0,986.770
2021,4,Corrientes,135.908,4.0,135.912
2021,4,Entre Ríos,265.024,22.0,265.046
2021,4,Formosa,53.663,0.0,53.663
2021,4,Jujuy,113.915,0.0,113.915
2021,4,La Pampa,106.834,173.0,107.007
2021,4,La Rioja,83.124,4.0,83.128
2021,4,Mendoza,266.783,804.0,267.587
2021,4,Misiones,171.132,0.0,171.132
2021,4,Neuquén,146.989,477.0,147.466
2021,4,Río Negro,153.189,564.0,153.753
2021,4,Salta,199.399,6.0,199.405
2021,4,San Juan,79.667,291.0,79.958
2021,4,San Luis,118.662,187.0,118.849
2021,4,Santa Cruz,48.276,210.0,48.486
2021,4,Santa Fe,866.265,176.0,866.441
2021,4,Santiago Del Estero,115.859,2.0,115.861
2021,4,Tierra Del Fuego,52.042,315.0,52.357
2021,4,Tucumán,238.609,30.0,238.639
2021,3,Buenos Aires,4.246.425,5.184,4.251.609
2021,3,Capital Federal,1.411.797,1.608,1.413.405
2021,3,Catamarca,56.253,1.0,56.254
2021,3,Chaco,139.868,3.0,139.871
2021,3,Chubut,155.266,800.0,156.066
2021,3,Córdoba,946.726,62.0,946.788
2021,3,Corrientes,133.816,3.0,133.819
2021,3,Entre Ríos,260.360,15.0,260.375
2021,3,Formosa,52.795,0.0,52.795
2021,3,Jujuy,111.158,0.0,111.158
2021,3,La Pampa,100.371,116.0,100.487
2021,3,La Rioja,82.157,3.0,82.160
2021,3,Mendoza,255.320,619.0,255.939
2021,3,Misiones,158.528,0.0,158.528
2021,3,Neuquén,139.436,373.0,139.809
2021,3,Río Negro,144.084,501.0,144.585
2021,3,Salta,195.831,2.0,195.833
2021,3,San Juan,79.227,256.0,79.483
2021,3,San Luis,117.716,148.0,117.864
2021,3,Santa Cruz,48.779,197.0,48.976
2021,3,Santa Fe,841.433,151.0,841.584
2021,3,Santiago Del Estero,115.457,1.0,115.458
2021,3,Tierra Del Fuego,49.934,289.0,50.223
2021,3,Tucumán,232.447,25.0,232.472
2021,2,Buenos Aires,4.127.167,5.184,4.132.351
2021,2,Capital Federal,1.398.747,1.608,1.400.355
2021,2,Catamarca,55.743,1.0,55.744
2021,2,Chaco,140.726,3.0,140.729
2021,2,Chubut,138.412,825.0,139.237
2021,2,Córdoba,930.818,62.0,930.880
2021,2,Corrientes,129.498,3.0,129.501
2021,2,Entre Ríos,257.617,15.0,257.632
2021,2,Formosa,51.551,0.0,51.551
2021,2,Jujuy,111.848,0.0,111.848
2021,2,La Pampa,97.551,116.0,97.667
2021,2,La Rioja,81.599,3.0,81.602
2021,2,Mendoza,229.052,619.0,229.671
2021,2,Misiones,156.176,0.0,156.176
2021,2,Neuquén,137.877,373.0,138.250
2021,2,Río Negro,143.583,501.0,144.084
2021,2,Salta,191.637,2.0,191.639
2021,2,San Juan,78.677,256.0,78.933
2021,2,San Luis,122.670,148.0,122.818
2021,2,Santa Cruz,48.785,197.0,48.982
2021,2,Santa Fe,840.449,151.0,840.600
2021,2,Santiago Del Estero,114.089,1.0,114.090
2021,2,Tierra Del Fuego,35.404,289.0,35.693
2021,2,Tucumán,233.026,25.0,233.051
2021,1,Buenos Aires,4.054.936,5.066,4.060.002
2021,1,Capital Federal,1.378.283,1.39,1.379.673
2021,1,Catamarca,51.967,1.0,51.968
2021,1,Chaco,139.767,3.0,139.770
2021,1,Chubut,131.515,825.0,132.340
2021,1,Córdoba,910.826,55.0,910.881
2021,1,Corrientes,126.622,3.0,126.625
2021,1,Entre Ríos,251.950,13.0,251.963
2021,1,Formosa,50.686,0.0,50.686
2021,1,Jujuy,110.456,0.0,110.456
2021,1,La Pampa,96.989,116.0,97.105
2021,1,La Rioja,52.625,3.0,52.628
2021,1,Mendoza,218.308,615.0,218.923
2021,1,Misiones,149.387,0.0,149.387
2021,1,Neuquén,132.862,373.0,133.235
2021,1,Río Negro,140.667,501.0,141.168
2021,1,Salta,187.572,2.0,187.574
2021,1,San Juan,78.011,256.0,78.267
2021,1,San Luis,119.006,148.0,119.154
2021,1,Santa Cruz,45.868,197.0,46.065
2021,1,Santa Fe,825.990,137.0,826.127
2021,1,Santiago Del Estero,111.640,1.0,111.641
2021,1,Tierra Del Fuego,40.133,289.0,40.422
2021,1,Tucumán,231.890,22.0,231.912
2020,4,Buenos Aires,4.028.195,5.066,4.033.261
2020,4,Capital Federal,1.378.140,1.39,1.379.530
2020,4,Catamarca,52.395,1.0,52.396
2020,4,Chaco,139.088,3.0,139.091
2020,4,Chubut,129.749,825.0,130.574
2020,4,Córdoba,902.646,55.0,902.701
2020,4,Corrientes,125.656,3.0,125.659
2020,4,Entre Ríos,247.368,13.0,247.381
2020,4,Formosa,50.206,0.0,50.206
2020,4,Jujuy,105.851,0.0,105.851
2020,4,La Pampa,96.779,116.0,96.895
2020,4,La Rioja,52.775,3.0,52.778
2020,4,Mendoza,214.838,615.0,215.453
2020,4,Misiones,147.161,0.0,147.161
2020,4,Neuquén,132.762,373.0,133.135
2020,4,Río Negro,140.709,501.0,141.210
2020,4,Salta,187.388,2.0,187.390
2020,4,San Juan,72.340,256.0,72.596
2020,4,San Luis,119.287,148.0,119.435
2020,4,Santa Cruz,40.477,197.0,40.674
2020,4,Santa Fe,820.676,137.0,820.813
2020,4,Santiago Del Estero,106.668,1.0,106.669
2020,4,Tierra Del Fuego,39.325,289.0,39.614
2020,4,Tucumán,231.067,22.0,231.089
2020,3,Buenos Aires,3.932.211,5.066,3.937.277
2020,3,Capital Federal,1.371.285,1.39,1.372.675
2020,3,Catamarca,49.903,1.0,49.904
2020,3,Chaco,133.951,3.0,133.954
2020,3,Chubut,129.202,825.0,130.027
2020,3,Córdoba,867.417,55.0,867.472
2020,3,Corrientes,123.388,3.0,123.391
2020,3,Entre Ríos,241.482,13.0,241.495
2020,3,Formosa,49.209,0.0,49.209
2020,3,Jujuy,106.728,0.0,106.728
2020,3,La Pampa,93.619,116.0,93.735
2020,3,La Rioja,52.613,3.0,52.616
2020,3,Mendoza,207.173,615.0,207.788
2020,3,Misiones,143.186,0.0,143.186
2020,3,Neuquén,128.862,373.0,129.235
2020,3,Río Negro,130.966,501.0,131.467
2020,3,Salta,180.844,2.0,180.846
2020,3,San Juan,77.071,256.0,77.327
2020,3,San Luis,116.417,148.0,116.565
2020,3,Santa Cruz,39.084,197.0,39.281
2020,3,Santa Fe,802.861,137.0,802.998
2020,3,Santiago Del Estero,105.491,1.0,105.492
2020,3,Tierra Del Fuego,39.366,289.0,39.655
2020,3,Tucumán,223.854,22.0,223.876
2020,2,Buenos Aires,3.772.480,5.066,3.777.546
2020,2,Capital Federal,1.356.431,1.39,1.357.821
2020,2,Catamarca,47.975,1.0,47.976
2020,2,Chaco,128.129,3.0,128.132
2020,2,Chubut,107.831,825.0,108.656
2020,2,Córdoba,836.413,55.0,836.468
2020,2,Corrientes,118.863,3.0,118.866
2020,2,Entre Ríos,234.100,13.0,234.113
2020,2,Formosa,47.932,0.0,47.932
2020,2,Jujuy,94.316,0.0,94.316
2020,2,La Pampa,89.693,116.0,89.809
2020,2,La Rioja,52.152,3.0,52.155
2020,2,Mendoza,200.569,615.0,201.184
2020,2,Misiones,140.340,0.0,140.340
2020,2,Neuquén,125.799,373.0,126.172
2020,2,Río Negro,128.985,501.0,129.486
2020,2,Salta,177.760,2.0,177.762
2020,2,San Juan,69.521,256.0,69.777
2020,2,San Luis,113.804,148.0,113.952
2020,2,Santa Cruz,38.672,197.0,38.869
2020,2,Santa Fe,777.795,137.0,777.932
2020,2,Santiago Del Estero,105.446,1.0,105.447
2020,2,Tierra Del Fuego,38.900,289.0,39.189
2020,2,Tucumán,217.134,22.0,217.156
2020,1,Buenos Aires,3.702.985,5.066,3.708.051
2020,1,Capital Federal,1.352.104,1.39,1.353.494
2020,1,Catamarca,39.634,1.0,39.635
2020,1,Chaco,120.274,3.0,120.277
2020,1,Chubut,95.938,800.0,96.738
2020,1,Córdoba,811.044,55.0,811.099
2020,1,Corrientes,113.967,3.0,113.970
2020,1,Entre Ríos,231.833,13.0,231.846
2020,1,Formosa,46.434,0.0,46.434
2020,1,Jujuy,91.665,0.0,91.665
2020,1,La Pampa,89.110,116.0,89.226
2020,1,La Rioja,48.337,3.0,48.340
2020,1,Mendoza,182.837,615.0,183.452
2020,1,Misiones,133.552,0.0,133.552
2020,1,Neuquén,121.354,373.0,121.727
2020,1,Río Negro,125.699,501.0,126.200
2020,1,Salta,170.379,2.0,170.381
2020,1,San Juan,63.975,256.0,64.231
2020,1,San Luis,110.404,148.0,110.552
2020,1,Santa Cruz,38.625,197.0,38.822
2020,1,Santa Fe,770.981,137.0,771.118
2020,1,Santiago Del Estero,102.754,1.0,102.755
2020,1,Tierra Del Fuego,38.505,289.0,38.794
2020,1,Tucumán,200.045,22.0,200.067
2019,4,Buenos Aires,3.681.120,5.134,3.686.254
2019,4,Capital Federal,1.356.695,1.41,1.358.105
2019,4,Catamarca,38.310,1.0,38.311
2019,4,Chaco,117.900,3.0,117.903
2019,4,Chubut,95.292,810.0,96.102
2019,4,Córdoba,806.633,55.0,806.688
2019,4,Corrientes,113.831,3.0,113.834
2019,4,Entre Ríos,239.017,13.0,239.030
2019,4,Formosa,46.711,0.0,46.711
2019,4,Jujuy,88.881,0.0,88.881
2019,4,La Pampa,90.280,119.0,90.399
2019,4,La Rioja,48.999,3.0,49.002
2019,4,Mendoza,185.157,623.0,185.780
2019,4,Misiones,135.813,0.0,135.813
2019,4,Neuquén,116.069,376.0,116.445
2019,4,Río Negro,126.636,504.0,127.140
2019,4,Salta,172.443,2.0,172.445
2019,4,San Juan,64.715,259.0,64.974
2019,4,San Luis,108.053,148.0,108.201
2019,4,Santa Cruz,39.170,200.0,39.370
2019,4,Santa Fe,769.019,150.0,769.169
2019,4,Santiago Del Estero,103.587,1.0,103.588
2019,4,Tierra Del Fuego,40.101,291.0,40.392
2019,4,Tucumán,198.621,23.0,198.644
2019,3,Buenos Aires,3.950.114,10.119,3.960.233
2019,3,Capital Federal,1.437.734,3.477,1.441.211
2019,3,Catamarca,32.391,9.0,32.400
2019,3,Chaco,114.438,13.0,114.451
2019,3,Chubut,87.481,1.524,89.005
2019,3,Córdoba,782.946,107.0,783.053
2019,3,Corrientes,112.749,10.0,112.759
2019,3,Entre Ríos,238.057,45.0,238.102
2019,3,Formosa,46.066,0.0,46.066
2019,3,Jujuy,86.575,1.0,86.576
2019,3,La Pampa,90.559,269.0,90.828
2019,3,La Rioja,49.659,18.0,49.677
2019,3,Mendoza,223.015,1.322,224.337
2019,3,Misiones,133.883,0.0,133.883
2019,3,Neuquén,123.435,1.986,125.421
2019,3,Río Negro,143.391,904.0,144.295
2019,3,Salta,151.834,1.0,151.835
2019,3,San Juan,72.535,563.0,73.098
2019,3,San Luis,122.409,291.0,122.700
2019,3,Santa Cruz,37.642,328.0,37.970
2019,3,Santa Fe,760.706,228.0,760.934
2019,3,Santiago Del Estero,133.130,2.0,133.132
2019,3,Tierra Del Fuego,48.043,544.0,48.587
2019,3,Tucumán,164.099,32.0,164.131
2019,2,Buenos Aires,3.845.594,10.104,3.855.698
2019,2,Capital Federal,1.412.177,3.443,1.415.620
2019,2,Catamarca,33.626,9.0,33.635
2019,2,Chaco,108.721,13.0,108.734
2019,2,Chubut,86.038,1.518,87.556
2019,2,Córdoba,775.023,105.0,775.128
2019,2,Corrientes,111.539,10.0,111.549
2019,2,Entre Ríos,235.780,44.0,235.824
2019,2,Formosa,46.438,0.0,46.438
2019,2,Jujuy,86.706,1.0,86.707
2019,2,La Pampa,89.937,268.0,90.205
2019,2,La Rioja,50.283,18.0,50.301
2019,2,Mendoza,222.535,1.322,223.857
2019,2,Misiones,132.878,0.0,132.878
2019,2,Neuquén,120.954,1.999,122.953
2019,2,Río Negro,137.632,915.0,138.547
2019,2,Salta,142.567,1.0,142.568
2019,2,San Juan,69.461,564.0,70.025
2019,2,San Luis,117.094,291.0,117.385
2019,2,Santa Cruz,30.225,325.0,30.550
2019,2,Santa Fe,743.258,226.0,743.484
2019,2,Santiago Del Estero,126.752,2.0,126.754
2019,2,Tierra Del Fuego,46.910,544.0,47.454
2019,2,Tucumán,166.299,32.0,166.331
2019,1,Buenos Aires,3.736.563,10.104,3.746.667
2019,1,Capital Federal,1.396.157,3.443,1.399.600
2019,1,Catamarca,33.613,9.0,33.622
2019,1,Chaco,103.664,13.0,103.677
2019,1,Chubut,78.260,1.518,79.778
2019,1,Córdoba,744.010,105.0,744.115
2019,1,Corrientes,102.477,10.0,102.487
