a̱o,trimestre,hasta_512_kbps,entre_512_kbps_y_1_mbps,entre_1_mbps_y_6_mbps,entre_6_mbps_y_10_mbps,entre_10_mbps_y_20_mbps,entre_20_mbps_y_30_mbps,mas_de_30_mbps,otros,total
2024.0,1.0,28.801,69.355,866.152,950.930,672.155,353.896,8.363.694,328.173,11.633.156
2023.0,4.0,29.708,71.742,900.253,978.108,697.232,350.290,8.224.736,295.592,11.547.661
2023.0,3.0,30.274,80.609,945.608,998.725,720.084,350.918,8.003.269,277.421,11.406.908
2023.0,2.0,30.827,79.405,963.510,1.028.250,734.125,364.730,7.775.095,275.955,11.251.897
2023.0,1.0,31.437,82.048,1.001.553,1.060.321,729.194,357.769,7.564.819,414.754,11.241.895
2022.0,4.0,31.981,85.668,1.075.272,1.109.421,765.015,335.573,7.410.902,394.282,11.208.114
2022.0,3.0,33.013,96.727,1.161.370,1.151.906,823.505,479.822,6.995.750,349.035,11.091.128
2022.0,2.0,33.667,99.498,1.193.090,1.197.030,856.562,485.321,6.741.922,351.594,10.958.684
2022.0,1.0,34.89,104.84,1.263.273,1.209.148,967.508,509.830,6.336.187,198.333,10.624.009
2021.0,4.0,41.262,28.521,1.413.208,1.245.333,976.539,558.358,6.032.322,194.251,10.489.794
2021.0,3.0,40.174,41.437,2.550.229,1.095.772,710.122,536.364,4.948.174,163.269,10.085.541
2021.0,2.0,40.172,42.024,2.531.271,1.080.279,693.277,647.401,4.661.291,167.369,9.863.084
2021.0,1.0,39.487,41.674,2.593.477,1.072.722,737.930,595.920,4.379.965,186.797,9.647.972
2020.0,4.0,39.51,42.185,2.622.638,1.073.875,786.595,582.420,4.239.237,185.102,9.571.562
2020.0,3.0,41.038,44.005,2.637.984,1.040.017,799.350,538.567,4.053.461,201.777,9.356.199
2020.0,2.0,41.038,48.69,2.651.502,1.053.107,807.775,523.437,3.711.499,194.008,9.031.056
2020.0,1.0,42.55,56.17,2.649.819,1.022.014,814.470,532.309,3.500.882,194.212,8.812.426
2019.0,4.0,38.272,28.98,2.792.307,1.046.128,851.619,1.004.083,2.830.746,201.046,8.793.181
2019.0,3.0,241.713,80.599,3.309.137,1.026.859,806.466,1.141.545,2.314.898,243.467,9.164.684
2019.0,2.0,202.79,95.98,3.444.458,871.142,1.169.632,1.250.366,1.677.830,247.983,8.960.181
2019.0,1.0,166.573,195.706,3.428.759,882.836,1.464.748,1.244.215,1.138.728,126.57,8.648.135
2018.0,4.0,138.74,201.196,3.337.982,882.388,1.472.634,1.688.748,599.579,152.388,8.473.655
2018.0,3.0,5.675,220.589,3.401.277,859.413,1.607.137,1.571.692,524.777,156.475,8.347.035
2018.0,2.0,5.972,219.467,3.316.868,979.416,1.905.839,1.000.036,444.391,238.455,8.110.444
2018.0,1.0,7.309,215.406,3.272.724,976.956,2.068.087,862.010,397.977,236.584,8.037.053
2017.0,4.0,15.041,221.474,3.773.159,1.005.545,1.730.353,631.946,337.559,155.145,7.870.222
2017.0,3.0,19.022,217.997,4.062.226,1.062.810,1.592.304,353.480,245.790,0.0,7.553.629
2017.0,2.0,22.366,222.766,4.416.065,990.281,1.342.000,231.604,98.635,0.0,7.323.717
2017.0,1.0,20.653,230.159,4.584.534,975.027,1.129.987,210.668,47.990,0.0,7.199.018
2016.0,4.0,20.724,233.398,4.673.339,971.094,1.038.029,169.522,38.590,0.0,7.144.696
2016.0,3.0,20.104,294.413,4.816.081,936.533,919.208,124.564,31.022,0.0,7.141.925
2016.0,2.0,44.008,384.221,5.058.481,796.998,785.759,73.977,29.020,0.0,7.172.464
2016.0,1.0,30.428,404.81,4.944.358,762.999,641.646,27.664,23.380,0.0,6.835.285
2015.0,4.0,34.243,427.394,5.049.640,726.740,639.011,17.568,22.170,0.0,6.916.766
2015.0,3.0,35.03,455.777,5.087.802,701.187,539.414,13.101,20.677,0.0,6.852.988
2015.0,2.0,40.723,500.175,5.138.431,645.440,432.762,10.045,18.529,0.0,6.786.105
2015.0,1.0,41.158,516.919,5.121.423,571.620,348.102,7.643,16.347,0.0,6.623.212
2014.0,4.0,44.075,554.749,5.084.556,496.251,276.254,4.371,15.229,0.0,6.475.485
2014.0,3.0,37.43,608.018,5.153.437,373.372,182.483,507,12.424,0.0,6.367.671
2014.0,2.0,41.064,656.408,5.149.574,341.689,147.273,478,12.259,0.0,6.348.745
2014.0,1.0,52.684,687.619,5.130.294,289.182,101.127,345,11.595,0.0,6.272.846
